start=0 len=12250 答案：距离=410，位置=870~13160 12290，len-距离=11840，占比=33
start=12250 len=10250 答案：距离=506，位置=29800~40090 10290，len-距离=9744，占比=49
start=22500 len=16501 答案：距离=880，位置=23460~40041 16581，len-距离=15621，占比=53
start=39001 len=12000 答案：距离=541，位置=28950~41030 12080，len-距离=11459，占比=45
start=51001 len=15002 答案：距离=614，位置=24390~39512 15122，len-距离=14388，占比=40
start=66003 len=16941 答案：距离=795，位置=17320~34381 17061，len-距离=16146，占比=46
start=82944 len=10057 答案：距离=925，位置=17740~28237 10497，len-距离=9132，占比=91
start=93001 len=9999 答案：距离=262，位置=22710~32749 10039，len-距离=9737，占比=26
start=103000 len=7000 答案：距离=142，位置=38300~45300 7000，len-距离=6858，占比=20
start=110000 len=9032 答案：距离=220，位置=23120~32192 9072，len-距离=8812，占比=24
start=119032 len=10968 答案：距离=304，位置=15560~26568 11008，len-距离=10664，占比=27
start=130000 len=15064 答案：距离=523，位置=37670~52814 15144，len-距离=14541，占比=34
(0,12250,160600870,160613160),(12250,22500,160629800,160640090),(22500,39001,160623460,160640041),(39001,51001,160628950,160641030),(51001,66003,160624390,160639512),(66003,82944,160617320,160634381),(82944,93001,160617740,160628237),(93001,103000,160622710,160632749),(103000,110000,160638300,160645300),(110000,119032,160623120,160632192),(119032,130000,160615560,160626568),(130000,145064,160637670,160652814),最终结果=138582
